Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1776963356,2026-04-23T16:55:56Z,PVL7664,"40.681728,-74.180649",0,5,89
1776963361,2026-04-23T16:56:01Z,PVL7664,"40.681679,-74.180443",0,5,125
1776963375,2026-04-23T16:56:15Z,PVL7664,"40.681572,-74.179916",0,2,89
1776963428,2026-04-23T16:57:08Z,PVL7664,"40.681477,-74.179703",0,7,89
1776963436,2026-04-23T16:57:16Z,PVL7664,"40.681278,-74.179428",0,9,134
1776963442,2026-04-23T16:57:22Z,PVL7664,"40.681061,-74.179176",0,11,138
1776963447,2026-04-23T16:57:27Z,PVL7664,"40.680828,-74.178909",0,13,138
1776963451,2026-04-23T16:57:31Z,PVL7664,"40.680698,-74.178703",0,12,133
1776963455,2026-04-23T16:57:35Z,PVL7664,"40.680618,-74.178421",0,12,119
1776963459,2026-04-23T16:57:39Z,PVL7664,"40.680462,-74.178093",0,12,119
1776963464,2026-04-23T16:57:44Z,PVL7664,"40.68013,-74.178032",0,15,171
1776963470,2026-04-23T16:57:50Z,PVL7664,"40.679852,-74.17823",0,15,212
1776963474,2026-04-23T16:57:54Z,PVL7664,"40.679588,-74.178391",0,13,208
1776963478,2026-04-23T16:57:58Z,PVL7664,"40.679379,-74.17852",0,12,206
1776963484,2026-04-23T16:58:04Z,PVL7664,"40.6791,-74.17868",0,12,204
1776963489,2026-04-23T16:58:09Z,PVL7664,"40.67886,-74.178848",0,12,206
1776963494,2026-04-23T16:58:14Z,PVL7664,"40.67865,-74.178993",0,12,207
1776963498,2026-04-23T16:58:18Z,PVL7664,"40.67844,-74.179108",0,12,205
1776963502,2026-04-23T16:58:22Z,PVL7664,"40.678219,-74.179237",0,13,205
1776963506,2026-04-23T16:58:26Z,PVL7664,"40.67799,-74.179398",0,14,205
1776963509,2026-04-23T16:58:29Z,PVL7664,"40.67775,-74.179543",0,14,205
1776963513,2026-04-23T16:58:33Z,PVL7664,"40.677528,-74.17971",0,14,208
1776963518,2026-04-23T16:58:38Z,PVL7664,"40.677231,-74.179893",0,14,205
1776963523,2026-04-23T16:58:43Z,PVL7664,"40.676941,-74.180092",0,14,208
1776963527,2026-04-23T16:58:47Z,PVL7664,"40.676708,-74.180206",0,13,205
1776963533,2026-04-23T16:58:53Z,PVL7664,"40.676479,-74.180382",0,11,206
1776963540,2026-04-23T16:59:00Z,PVL7664,"40.67625,-74.180481",0,6,202
1776963554,2026-04-23T16:59:14Z,PVL7664,"40.676048,-74.18045",0,4,140
1776963565,2026-04-23T16:59:25Z,PVL7664,"40.67585,-74.180222",0,6,135
1776963571,2026-04-23T16:59:31Z,PVL7664,"40.675732,-74.179977",0,8,126
1776963575,2026-04-23T16:59:35Z,PVL7664,"40.675629,-74.179771",0,10,121
1776963578,2026-04-23T16:59:38Z,PVL7664,"40.675621,-74.179497",0,10,107
1776963583,2026-04-23T16:59:43Z,PVL7664,"40.675709,-74.17923",0,11,80
1776963586,2026-04-23T16:59:46Z,PVL7664,"40.675961,-74.179062",0,14,31
1776963592,2026-04-23T16:59:52Z,PVL7664,"40.67622,-74.17894",0,10,22
1776963689,2026-04-23T17:01:29Z,PVL7664,"40.676571,-74.178703",0,12,26
1776963697,2026-04-23T17:01:37Z,PVL7664,"40.678242,-74.177643",0,65,26
1776963704,2026-04-23T17:01:44Z,PVL7664,"40.681641,-74.175468",0,109,26
1776963713,2026-04-23T17:01:53Z,PVL7664,"40.685822,-74.172813",0,138,26
1776963720,2026-04-23T17:02:00Z,PVL7664,"40.689499,-74.170403",0,154,27
1776963728,2026-04-23T17:02:08Z,PVL7664,"40.694012,-74.167549",0,153,25
1776963735,2026-04-23T17:02:15Z,PVL7664,"40.699329,-74.164032",0,163,26
1776963743,2026-04-23T17:02:23Z,PVL7664,"40.70475,-74.160233",0,167,28
1776963746,2026-04-23T17:02:26Z,PVL7664,"40.706779,-74.158524",0,173,31
1776963748,2026-04-23T17:02:28Z,PVL7664,"40.708778,-74.156647",0,177,34
1776963751,2026-04-23T17:02:31Z,PVL7664,"40.710701,-74.154549",0,181,39
1776963754,2026-04-23T17:02:34Z,PVL7664,"40.712448,-74.15226",0,181,44
1776963757,2026-04-23T17:02:37Z,PVL7664,"40.714249,-74.149727",0,189,47
1776963759,2026-04-23T17:02:39Z,PVL7664,"40.715981,-74.147278",0,185,48
