Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1777048727,2026-04-24T16:38:47Z,PVL7664,"40.680988,-74.187836",0,0,284
1777049087,2026-04-24T16:44:47Z,PVL7664,"40.681664,-74.186432",0,0,14
1777049167,2026-04-24T16:46:07Z,PVL7664,"40.681824,-74.182678",0,12,96
1777049176,2026-04-24T16:46:16Z,PVL7664,"40.681789,-74.182144",0,10,96
1777049185,2026-04-24T16:46:25Z,PVL7664,"40.681755,-74.181625",0,8,96
1777049195,2026-04-24T16:46:35Z,PVL7664,"40.681732,-74.181152",0,8,96
1777049202,2026-04-24T16:46:42Z,PVL7664,"40.681709,-74.180832",0,7,96
1777049210,2026-04-24T16:46:50Z,PVL7664,"40.681686,-74.18045",0,8,96
1777049217,2026-04-24T16:46:57Z,PVL7664,"40.681652,-74.180115",0,8,101
1777049222,2026-04-24T16:47:02Z,PVL7664,"40.681583,-74.179886",0,7,113
1777049229,2026-04-24T16:47:09Z,PVL7664,"40.681465,-74.179672",0,6,127
1777049237,2026-04-24T16:47:17Z,PVL7664,"40.681313,-74.179466",0,4,138
1777049279,2026-04-24T16:47:59Z,PVL7664,"40.681011,-74.179123",0,8,138
1777049287,2026-04-24T16:48:07Z,PVL7664,"40.680737,-74.178741",0,11,127
1777049291,2026-04-24T16:48:11Z,PVL7664,"40.680626,-74.178467",0,12,118
1777049295,2026-04-24T16:48:15Z,PVL7664,"40.680534,-74.178253",0,11,121
1777049301,2026-04-24T16:48:21Z,PVL7664,"40.68029,-74.17804",0,9,160
1777049308,2026-04-24T16:48:28Z,PVL7664,"40.680058,-74.178078",0,9,194
1777049312,2026-04-24T16:48:32Z,PVL7664,"40.679855,-74.178223",0,10,208
1777049318,2026-04-24T16:48:38Z,PVL7664,"40.679581,-74.178391",0,11,208
1777049323,2026-04-24T16:48:43Z,PVL7664,"40.67934,-74.178543",0,12,208
1777049327,2026-04-24T16:48:47Z,PVL7664,"40.679123,-74.17868",0,12,208
1777049334,2026-04-24T16:48:54Z,PVL7664,"40.678745,-74.178925",0,13,205
1777049338,2026-04-24T16:48:58Z,PVL7664,"40.678532,-74.179062",0,13,208
1777049344,2026-04-24T16:49:04Z,PVL7664,"40.678162,-74.179298",0,14,205
1777049348,2026-04-24T16:49:08Z,PVL7664,"40.677944,-74.179428",0,14,205
1777049352,2026-04-24T16:49:12Z,PVL7664,"40.677692,-74.179596",0,14,208
1777049356,2026-04-24T16:49:16Z,PVL7664,"40.677441,-74.179749",0,14,208
1777049360,2026-04-24T16:49:20Z,PVL7664,"40.677189,-74.179901",0,15,205
1777049367,2026-04-24T16:49:27Z,PVL7664,"40.676811,-74.180145",0,15,205
1777049374,2026-04-24T16:49:34Z,PVL7664,"40.676403,-74.180405",0,11,205
1777049381,2026-04-24T16:49:41Z,PVL7664,"40.676159,-74.18055",0,6,200
1777049393,2026-04-24T16:49:53Z,PVL7664,"40.675892,-74.180267",0,9,132
