Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1777048472,2026-04-24T16:34:32Z,JBU1287,"41.72477,-71.435585",0,0,180
1777050224,2026-04-24T17:03:44Z,JBU1287,"41.724667,-71.435371",0,1,300
1777050248,2026-04-24T17:04:08Z,JBU1287,"41.724575,-71.435165",0,0,300
1777050271,2026-04-24T17:04:31Z,JBU1287,"41.72448,-71.434959",0,0,303
1777050296,2026-04-24T17:04:56Z,JBU1287,"41.724388,-71.434753",0,1,306
1777050542,2026-04-24T17:09:02Z,JBU1287,"41.724251,-71.434982",0,6,205
1777050553,2026-04-24T17:09:13Z,JBU1287,"41.723843,-71.435303",0,8,213
1777050565,2026-04-24T17:09:25Z,JBU1287,"41.723419,-71.435661",0,10,213
1777050577,2026-04-24T17:09:37Z,JBU1287,"41.723148,-71.435913",0,10,213
1777050582,2026-04-24T17:09:42Z,JBU1287,"41.722858,-71.436172",0,12,214
1777050588,2026-04-24T17:09:48Z,JBU1287,"41.722561,-71.43644",0,13,213
1777050592,2026-04-24T17:09:52Z,JBU1287,"41.722309,-71.436607",0,14,209
1777050596,2026-04-24T17:09:56Z,JBU1287,"41.722069,-71.436852",0,15,213
1777050600,2026-04-24T17:10:00Z,JBU1287,"41.721802,-71.437073",0,17,212
1777050603,2026-04-24T17:10:03Z,JBU1287,"41.721561,-71.437302",0,16,213
1777050608,2026-04-24T17:10:08Z,JBU1287,"41.72126,-71.437523",0,15,211
1777050612,2026-04-24T17:10:12Z,JBU1287,"41.72105,-71.437653",0,12,205
1777050616,2026-04-24T17:10:16Z,JBU1287,"41.720779,-71.437592",0,14,175
1777050620,2026-04-24T17:10:20Z,JBU1287,"41.72057,-71.437317",0,16,135
1777050624,2026-04-24T17:10:24Z,JBU1287,"41.72047,-71.437073",0,16,119
1777050628,2026-04-24T17:10:28Z,JBU1287,"41.720329,-71.436783",0,15,120
1777050632,2026-04-24T17:10:32Z,JBU1287,"41.720211,-71.436539",0,15,124
1777050635,2026-04-24T17:10:35Z,JBU1287,"41.7201,-71.436279",0,16,121
1777050641,2026-04-24T17:10:41Z,JBU1287,"41.7197,-71.435478",0,18,123
1777050643,2026-04-24T17:10:43Z,JBU1287,"41.719452,-71.434975",0,19,123
1777050652,2026-04-24T17:10:52Z,JBU1287,"41.71933,-71.434738",0,19,123
1777050654,2026-04-24T17:10:54Z,JBU1287,"41.719238,-71.434509",0,20,121
1777050656,2026-04-24T17:10:56Z,JBU1287,"41.719131,-71.434288",0,21,122
1777050659,2026-04-24T17:10:59Z,JBU1287,"41.71899,-71.433968",0,20,120
1777050662,2026-04-24T17:11:02Z,JBU1287,"41.718819,-71.433617",0,21,121
1777050665,2026-04-24T17:11:05Z,JBU1287,"41.718689,-71.433342",0,19,122
1777050668,2026-04-24T17:11:08Z,JBU1287,"41.71851,-71.433037",0,16,125
1777050673,2026-04-24T17:11:13Z,JBU1287,"41.718208,-71.433006",0,14,172
1777050677,2026-04-24T17:11:17Z,JBU1287,"41.717941,-71.43322",0,17,209
1777050680,2026-04-24T17:11:20Z,JBU1287,"41.717731,-71.433456",0,16,222
1777050684,2026-04-24T17:11:24Z,JBU1287,"41.717529,-71.433578",0,16,211
1777050687,2026-04-24T17:11:27Z,JBU1287,"41.716953,-71.434074",0,0,210
1777050700,2026-04-24T17:11:40Z,JBU1287,"41.716351,-71.43457",0,18,210
1777050703,2026-04-24T17:11:43Z,JBU1287,"41.716061,-71.434837",0,20,214
1777050706,2026-04-24T17:11:46Z,JBU1287,"41.715771,-71.435066",0,19,212
1777050709,2026-04-24T17:11:49Z,JBU1287,"41.715511,-71.435287",0,21,211
1777050712,2026-04-24T17:11:52Z,JBU1287,"41.71529,-71.435463",0,19,210
1777050716,2026-04-24T17:11:56Z,JBU1287,"41.71497,-71.43576",0,20,213
1777050720,2026-04-24T17:12:00Z,JBU1287,"41.714649,-71.43602",0,20,212
1777050723,2026-04-24T17:12:03Z,JBU1287,"41.71431,-71.436302",0,21,212
1777050727,2026-04-24T17:12:07Z,JBU1287,"41.713989,-71.436577",0,21,212
1777050730,2026-04-24T17:12:10Z,JBU1287,"41.713718,-71.436798",0,22,211
1777050734,2026-04-24T17:12:14Z,JBU1287,"41.713379,-71.437103",0,22,213
1777050736,2026-04-24T17:12:16Z,JBU1287,"41.713112,-71.437309",0,23,211
1777050739,2026-04-24T17:12:19Z,JBU1287,"41.712769,-71.437599",0,22,212
