Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1776714993,2026-04-20T19:56:33Z,UAL2301,"40.697792,-74.17984",0,0,64
1776715039,2026-04-20T19:57:19Z,UAL2301,"40.697559,-74.18045",0,2,110
1776715058,2026-04-20T19:57:38Z,UAL2301,"40.697662,-74.180664",0,3,149
1776715073,2026-04-20T19:57:53Z,UAL2301,"40.697868,-74.180832",0,3,146
1776715096,2026-04-20T19:58:16Z,UAL2301,"40.698109,-74.181061",0,2,51
1776715138,2026-04-20T19:58:58Z,UAL2301,"40.698036,-74.181267",0,2,335
1776715154,2026-04-20T19:59:14Z,UAL2301,"40.698257,-74.181389",0,4,332
1776715704,2026-04-20T20:08:24Z,UAL2301,"40.698624,-74.181625",0,7,335
1776715710,2026-04-20T20:08:30Z,UAL2301,"40.698841,-74.181702",0,8,346
1776715718,2026-04-20T20:08:38Z,UAL2301,"40.699139,-74.181686",0,9,8
1776715722,2026-04-20T20:08:42Z,UAL2301,"40.699341,-74.181641",0,9,11
1776715729,2026-04-20T20:08:49Z,UAL2301,"40.699669,-74.181557",0,10,8
1776715738,2026-04-20T20:08:58Z,UAL2301,"40.700031,-74.181335",0,10,42
1776715745,2026-04-20T20:09:05Z,UAL2301,"40.700073,-74.181015",0,9,84
1776715753,2026-04-20T20:09:13Z,UAL2301,"40.700027,-74.180389",0,0,95
1776715755,2026-04-20T20:09:15Z,UAL2301,"40.700016,-74.180153",0,14,95
1776715761,2026-04-20T20:09:21Z,UAL2301,"40.699986,-74.179749",0,16,96
1776715764,2026-04-20T20:09:24Z,UAL2301,"40.699963,-74.179443",0,16,96
1776715767,2026-04-20T20:09:27Z,UAL2301,"40.699947,-74.179176",0,17,93
1776715769,2026-04-20T20:09:29Z,UAL2301,"40.69994,-74.178955",0,17,93
1776715772,2026-04-20T20:09:32Z,UAL2301,"40.699917,-74.17865",0,17,93
1776715779,2026-04-20T20:09:39Z,UAL2301,"40.699879,-74.177925",0,18,93
1776715781,2026-04-20T20:09:41Z,UAL2301,"40.699852,-74.177719",0,18,96
1776715788,2026-04-20T20:09:48Z,UAL2301,"40.699795,-74.176895",0,19,93
1776715790,2026-04-20T20:09:50Z,UAL2301,"40.69978,-74.176682",0,19,93
1776715795,2026-04-20T20:09:55Z,UAL2301,"40.699749,-74.176086",0,20,96
1776715798,2026-04-20T20:09:58Z,UAL2301,"40.699722,-74.175858",0,20,96
1776715800,2026-04-20T20:10:00Z,UAL2301,"40.699703,-74.175537",0,21,96
1776715806,2026-04-20T20:10:06Z,UAL2301,"40.699669,-74.17485",0,21,96
1776715808,2026-04-20T20:10:08Z,UAL2301,"40.699631,-74.174576",0,21,98
1776715810,2026-04-20T20:10:10Z,UAL2301,"40.699574,-74.174286",0,22,104
1776715813,2026-04-20T20:10:13Z,UAL2301,"40.699493,-74.173943",0,22,110
1776715816,2026-04-20T20:10:16Z,UAL2301,"40.699364,-74.173553",0,22,115
1776715818,2026-04-20T20:10:18Z,UAL2301,"40.699261,-74.173317",0,23,121
1776715820,2026-04-20T20:10:20Z,UAL2301,"40.699142,-74.173073",0,23,127
1776715822,2026-04-20T20:10:22Z,UAL2301,"40.699017,-74.172867",0,23,129
1776715824,2026-04-20T20:10:24Z,UAL2301,"40.698887,-74.172646",0,23,129
1776715826,2026-04-20T20:10:26Z,UAL2301,"40.698738,-74.17244",0,24,132
1776715828,2026-04-20T20:10:28Z,UAL2301,"40.698574,-74.172195",0,24,132
1776715831,2026-04-20T20:10:31Z,UAL2301,"40.698353,-74.171913",0,24,135
1776715833,2026-04-20T20:10:33Z,UAL2301,"40.698189,-74.1717",0,24,138
1776715836,2026-04-20T20:10:36Z,UAL2301,"40.697922,-74.171387",0,25,141
1776715839,2026-04-20T20:10:39Z,UAL2301,"40.697666,-74.171135",0,23,143
1776715842,2026-04-20T20:10:42Z,UAL2301,"40.697422,-74.170914",0,20,146
1776715845,2026-04-20T20:10:45Z,UAL2301,"40.697205,-74.170746",0,18,149
1776715848,2026-04-20T20:10:48Z,UAL2301,"40.696987,-74.170593",0,18,155
1776715856,2026-04-20T20:10:56Z,UAL2301,"40.696381,-74.170212",0,18,154
1776715860,2026-04-20T20:11:00Z,UAL2301,"40.696049,-74.170067",0,18,159
1776715863,2026-04-20T20:11:03Z,UAL2301,"40.695782,-74.169983",0,20,163
1776715867,2026-04-20T20:11:07Z,UAL2301,"40.695431,-74.169891",0,19,167
1776715871,2026-04-20T20:11:11Z,UAL2301,"40.69503,-74.1698",0,22,170
1776715874,2026-04-20T20:11:14Z,UAL2301,"40.69474,-74.169762",0,21,172
1776715878,2026-04-20T20:11:18Z,UAL2301,"40.69437,-74.169708",0,21,173
1776715882,2026-04-20T20:11:22Z,UAL2301,"40.693981,-74.169724",0,22,178
1776715884,2026-04-20T20:11:24Z,UAL2301,"40.693779,-74.169731",0,22,180
1776715887,2026-04-20T20:11:27Z,UAL2301,"40.69339,-74.1698",0,21,185
1776715891,2026-04-20T20:11:31Z,UAL2301,"40.693069,-74.169891",0,22,189
1776715893,2026-04-20T20:11:33Z,UAL2301,"40.69286,-74.169983",0,23,193
1776715897,2026-04-20T20:11:37Z,UAL2301,"40.692459,-74.170174",0,23,198
1776715899,2026-04-20T20:11:39Z,UAL2301,"40.692169,-74.170372",0,23,203
1776715901,2026-04-20T20:11:41Z,UAL2301,"40.691959,-74.170509",0,24,205
1776715905,2026-04-20T20:11:45Z,UAL2301,"40.691681,-74.1707",0,23,207
1776715907,2026-04-20T20:11:47Z,UAL2301,"40.691441,-74.170853",0,21,205
1776715911,2026-04-20T20:11:51Z,UAL2301,"40.69112,-74.171043",0,20,203
1776715914,2026-04-20T20:11:54Z,UAL2301,"40.690861,-74.171204",0,20,204
1776715918,2026-04-20T20:11:58Z,UAL2301,"40.690521,-74.17144",0,21,207
1776715922,2026-04-20T20:12:02Z,UAL2301,"40.69025,-74.171608",0,21,206
1776715925,2026-04-20T20:12:05Z,UAL2301,"40.689991,-74.171768",0,21,205
1776715928,2026-04-20T20:12:08Z,UAL2301,"40.68972,-74.171944",0,21,206
1776715931,2026-04-20T20:12:11Z,UAL2301,"40.68943,-74.172142",0,23,206
1776715933,2026-04-20T20:12:13Z,UAL2301,"40.689129,-74.17231",0,23,204
1776715938,2026-04-20T20:12:18Z,UAL2301,"40.688751,-74.172562",0,24,205
