Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1776800610,2026-04-21T19:43:30Z,UAL2301,"40.697319,-74.180481",0,3,123
1776800625,2026-04-21T19:43:45Z,UAL2301,"40.697445,-74.180702",0,3,146
1776800642,2026-04-21T19:44:02Z,UAL2301,"40.697655,-74.180878",0,3,155
1776800662,2026-04-21T19:44:22Z,UAL2301,"40.697922,-74.181015",0,3,163
1776800684,2026-04-21T19:44:44Z,UAL2301,"40.698269,-74.181152",0,0,163
1776800698,2026-04-21T19:44:58Z,UAL2301,"40.698479,-74.181213",0,3,160
1776800724,2026-04-21T19:45:24Z,UAL2301,"40.69875,-74.181442",0,0,73
1776800739,2026-04-21T19:45:39Z,UAL2301,"40.698647,-74.181671",0,2,329
1776800768,2026-04-21T19:46:08Z,UAL2301,"40.698444,-74.181511",0,2,338
1776800963,2026-04-21T19:49:23Z,UAL2301,"40.698654,-74.181641",0,6,335
1776800970,2026-04-21T19:49:30Z,UAL2301,"40.698887,-74.181717",0,8,352
1776800977,2026-04-21T19:49:37Z,UAL2301,"40.699139,-74.181686",0,9,8
1776800984,2026-04-21T19:49:44Z,UAL2301,"40.699436,-74.18161",0,8,8
1776800992,2026-04-21T19:49:52Z,UAL2301,"40.699711,-74.181549",0,8,8
1776800999,2026-04-21T19:49:59Z,UAL2301,"40.699936,-74.181435",0,7,28
1776801005,2026-04-21T19:50:05Z,UAL2301,"40.700062,-74.181168",0,8,65
1776801014,2026-04-21T19:50:14Z,UAL2301,"40.700054,-74.180771",0,10,96
1776801020,2026-04-21T19:50:20Z,UAL2301,"40.700027,-74.180374",0,11,96
1776801023,2026-04-21T19:50:23Z,UAL2301,"40.70002,-74.180145",0,12,96
1776801026,2026-04-21T19:50:26Z,UAL2301,"40.699993,-74.179909",0,13,96
1776801029,2026-04-21T19:50:29Z,UAL2301,"40.699986,-74.179672",0,13,96
1776801032,2026-04-21T19:50:32Z,UAL2301,"40.699963,-74.179413",0,14,96
1776801035,2026-04-21T19:50:35Z,UAL2301,"40.699951,-74.179169",0,14,96
1776801042,2026-04-21T19:50:42Z,UAL2301,"40.699902,-74.178551",0,14,96
1776801049,2026-04-21T19:50:49Z,UAL2301,"40.699871,-74.177963",0,15,93
1776801056,2026-04-21T19:50:56Z,UAL2301,"40.699825,-74.177277",0,15,96
1776801063,2026-04-21T19:51:03Z,UAL2301,"40.69978,-74.176697",0,14,96
1776801071,2026-04-21T19:51:11Z,UAL2301,"40.699745,-74.176041",0,15,96
1776801078,2026-04-21T19:51:18Z,UAL2301,"40.699699,-74.175461",0,15,96
1776801086,2026-04-21T19:51:26Z,UAL2301,"40.699631,-74.17466",0,15,98
1776801089,2026-04-21T19:51:29Z,UAL2301,"40.699596,-74.174377",0,16,104
